Total,234,last hour,26,2023-12-12 17:06:27
Total,235,last hour,27,2023-12-12 17:06:33
Total,236,last hour,28,2023-12-12 17:06:38
Total,237,last hour,29,2023-12-12 17:06:43
Total,238,last hour,1,2023-12-13 09:20:12
Total,239,last hour,2,2023-12-13 09:20:18
Total,240,last hour,3,2023-12-13 09:20:24
Total,241,last hour,4,2023-12-13 09:20:29
Total,242,last hour,5,2023-12-13 09:34:08
Total,243,last hour,6,2023-12-13 09:34:41
Total,244,last hour,7,2023-12-13 09:35:24
Total,245,last hour,8,2023-12-13 09:35:30
Total,246,last hour,9,2023-12-13 09:35:36
Total,247,last hour,10,2023-12-13 09:35:41
Total,248,last hour,11,2023-12-13 09:42:28
Total,249,last hour,12,2023-12-13 09:42:33
Total,250,last hour,13,2023-12-13 09:42:38
Total,251,last hour,14,2023-12-13 09:42:44
Total,252,last hour,15,2023-12-13 09:43:08
Total,253,last hour,16,2023-12-13 09:43:13
Total,254,last hour,17,2023-12-13 09:43:18
Total,255,last hour,18,2023-12-13 09:43:23
Total,256,last hour,19,2023-12-13 09:49:59
Total,257,last hour,20,2023-12-13 09:50:05
Total,258,last hour,21,2023-12-13 09:50:11
Total,259,last hour,22,2023-12-13 09:50:16
Total,260,last hour,1,2023-12-13 12:11:57
Total,261,last hour,2,2023-12-13 12:12:05
Total,262,last hour,3,2023-12-13 12:12:11
Total,263,last hour,4,2023-12-13 12:12:15
Total,264,last hour,1,2023-12-13 14:03:18
Total,265,last hour,2,2023-12-13 14:27:16
Total,266,last hour,3,2023-12-13 14:27:36
Total,267,last hour,4,2023-12-13 14:27:42
Total,268,last hour,5,2023-12-13 14:27:48
Total,269,last hour,6,2023-12-13 14:27:52
Total,270,last hour,7,2023-12-13 14:28:09
Total,271,last hour,8,2023-12-13 14:28:16
Total,272,last hour,9,2023-12-13 14:28:21
Total,273,last hour,10,2023-12-13 14:28:26
Total,274,last hour,10,2023-12-13 15:20:45
Total,275,last hour,11,2023-12-13 15:20:50
Total,276,last hour,12,2023-12-13 15:20:55
Total,277,last hour,13,2023-12-13 15:21:00
Total,278,last hour,14,2023-12-13 15:23:38
Total,279,last hour,15,2023-12-13 15:23:44
Total,280,last hour,16,2023-12-13 15:23:49
Total,281,last hour,17,2023-12-13 15:23:53
Total,282,last hour,9,2023-12-13 15:34:20
Total,283,last hour,10,2023-12-13 15:34:26
Total,284,last hour,11,2023-12-13 15:34:31
Total,285,last hour,12,2023-12-13 15:34:36
Total,286,last hour,1,2023-12-18 15:21:44
Total,287,last hour,2,2023-12-18 15:21:50
Total,288,last hour,3,2023-12-18 15:21:55
Total,289,last hour,4,2023-12-18 15:22:01
Total,290,last hour,5,2023-12-18 16:10:04
Total,291,last hour,6,2023-12-18 16:10:10
Total,292,last hour,7,2023-12-18 16:10:16
Total,293,last hour,8,2023-12-18 16:10:21
Total,294,last hour,1,2023-12-20 09:57:11
Total,295,last hour,2,2023-12-20 09:57:17
Total,296,last hour,3,2023-12-20 09:57:23
Total,297,last hour,4,2023-12-20 09:57:28
Total,298,last hour,1,2023-12-20 12:12:57
Total,299,last hour,2,2023-12-20 12:13:03
Total,300,last hour,3,2023-12-20 12:13:10
Total,301,last hour,4,2023-12-20 12:13:15
Total,302,last hour,5,2023-12-20 12:13:56
Total,303,last hour,6,2023-12-20 12:14:02
Total,304,last hour,7,2023-12-20 12:14:08
Total,305,last hour,8,2023-12-20 12:14:13
Total,306,last hour,9,2023-12-20 12:16:06
Total,307,last hour,10,2023-12-20 12:16:12
Total,308,last hour,11,2023-12-20 12:16:17
Total,309,last hour,12,2023-12-20 12:16:22
Total,310,last hour,13,2023-12-20 12:16:23
Total,311,last hour,14,2023-12-20 12:16:29
Total,312,last hour,15,2023-12-20 12:16:34
Total,313,last hour,16,2023-12-20 12:16:40
Total,314,last hour,17,2023-12-20 12:17:42
Total,315,last hour,18,2023-12-20 12:17:48
Total,316,last hour,19,2023-12-20 12:17:53
Total,317,last hour,20,2023-12-20 12:17:58
Total,318,last hour,13,2023-12-20 13:15:09
Total,319,last hour,14,2023-12-20 13:15:15
Total,320,last hour,15,2023-12-20 13:15:20
Total,321,last hour,16,2023-12-20 13:15:25
Total,322,last hour,5,2023-12-20 13:20:51
Total,323,last hour,6,2023-12-20 13:22:04
Total,324,last hour,7,2023-12-20 13:23:24
Total,325,last hour,8,2023-12-20 13:24:45
Total,326,last hour,9,2023-12-20 13:25:09
Total,327,last hour,10,2023-12-20 13:26:39
Total,328,last hour,11,2023-12-20 13:27:13
Total,329,last hour,12,2023-12-20 13:28:21
Total,330,last hour,13,2023-12-20 13:29:04
Total,331,last hour,14,2023-12-20 13:29:37
Total,332,last hour,15,2023-12-20 13:30:51
Total,333,last hour,16,2023-12-20 13:30:57
Total,334,last hour,17,2023-12-20 13:31:03
Total,335,last hour,18,2023-12-20 13:31:08
Total,336,last hour,19,2023-12-20 14:12:22
Total,337,last hour,20,2023-12-20 14:12:29
Total,338,last hour,21,2023-12-20 14:12:38
Total,339,last hour,22,2023-12-20 14:12:43
